gene,sample,expression,organism,age,sex,infection,strain,time,tissue,mouse
Agt,GSM2545336,8586,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rlbp1,GSM2545336,209,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Jam2,GSM2545336,3033,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lcat,GSM2545336,1239,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Oxct1,GSM2545336,11355,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cacna1e,GSM2545336,5200,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fa2h,GSM2545336,1254,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Plxnb3,GSM2545336,724,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lman2l,GSM2545336,864,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dpy19l1,GSM2545336,2157,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Kctd21,GSM2545336,549,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Thra,GSM2545336,17222,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dok3,GSM2545336,78,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Sult1a1,GSM2545336,1658,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rpe,GSM2545336,872,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Acrbp,GSM2545336,231,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc2a9,GSM2545336,190,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Emp2,GSM2545336,993,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Aipl1,GSM2545336,91,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Uri1,GSM2545336,2955,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Bcs1l,GSM2545336,343,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rbm3,GSM2545336,11184,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tra2a,GSM2545336,3405,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Prex1,GSM2545336,3573,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Josd2,GSM2545336,1132,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tmco3,GSM2545336,1289,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Srebf1,GSM2545336,4044,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Acer2,GSM2545336,983,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tsga10,GSM2545336,231,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cyp3a13,GSM2545336,238,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Relt,GSM2545336,1147,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nrep,GSM2545336,26832,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc14a1,GSM2545336,1344,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
