gene,sample,expression,organism,age,sex,infection,strain,time,tissue,mouse
Eny2,GSM2545341,3109,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Mroh1,GSM2545341,5620,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pcyox1l,GSM2545341,429,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ankrd39,GSM2545341,638,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Timeless,GSM2545341,559,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Sparc,GSM2545341,42055,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Slc7a10,GSM2545341,876,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ppp1r2,GSM2545341,5006,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Psmf1,GSM2545341,1243,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Adat1,GSM2545341,174,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Slc6a12,GSM2545341,309,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Snhg3,GSM2545341,320,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Prg4,GSM2545341,1132,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Plod1,GSM2545341,544,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Whamm,GSM2545341,1478,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ttpa,GSM2545341,321,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Thbs3,GSM2545341,413,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gltp,GSM2545341,808,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pex6,GSM2545341,1125,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Aim2,GSM2545341,242,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ednrb,GSM2545341,3485,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Nuf2,GSM2545341,63,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Mog,GSM2545341,1097,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ccl27a,GSM2545341,1391,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tac4,GSM2545341,34,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Snhg8,GSM2545341,484,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ak6,GSM2545341,152,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Kctd20,GSM2545341,2170,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Itgb4,GSM2545341,328,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Zfp810,GSM2545341,1041,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gm33489,GSM2545341,40,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gna12,GSM2545341,1123,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Cyp4v3,GSM2545341,849,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pkp4,GSM2545341,7788,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Agpat1,GSM2545341,1466,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gipr,GSM2545341,94,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Edn3,GSM2545341,148,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Prr15,GSM2545341,120,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Traf1,GSM2545341,124,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pim2,GSM2545341,928,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Lrrc8a,GSM2545341,4472,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Erp44,GSM2545341,1281,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tmem33,GSM2545341,4237,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Fen1,GSM2545341,706,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tfap4,GSM2545341,479,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Lman2,GSM2545341,2042,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Senp8,GSM2545341,140,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Alg14,GSM2545341,480,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ddah1,GSM2545341,3076,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pomt1,GSM2545341,452,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Rab3b,GSM2545341,627,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Lrrc29,GSM2545341,132,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Nqo1,GSM2545341,595,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gpr137b,GSM2545341,349,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pcif1,GSM2545341,2771,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Qdpr,GSM2545341,2549,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Dcdc2b,GSM2545341,229,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Rap2a,GSM2545341,1486,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Cnpy4,GSM2545341,360,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Wdr41,GSM2545341,1120,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gm20627,GSM2545341,12,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Mmaa,GSM2545341,1181,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gm13562,GSM2545341,10,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Cd70,GSM2545341,10,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Itm2a,GSM2545341,1263,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Avil,GSM2545341,18,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Zscan22,GSM2545341,342,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Itgb3,GSM2545341,46,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Col11a2,GSM2545341,373,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Apoc1,GSM2545341,98,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tmeff2,GSM2545341,1617,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tyro3,GSM2545341,4599,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ift22,GSM2545341,568,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Mtmr7,GSM2545341,2914,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gabrr2,GSM2545341,167,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ube2v2,GSM2545341,1288,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
C77080,GSM2545341,1970,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Elovl5,GSM2545341,2938,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Serinc5,GSM2545341,2317,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pyroxd2,GSM2545341,113,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ypel2,GSM2545341,1474,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Parp3,GSM2545341,548,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Xpo1,GSM2545341,4526,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Polr2a,GSM2545341,7472,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tspyl4,GSM2545341,18060,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Irgm1,GSM2545341,372,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Cep131,GSM2545341,1510,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Sema4d,GSM2545341,2802,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gbp6,GSM2545341,344,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Zfp119b,GSM2545341,306,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Eps15,GSM2545341,9582,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pxmp2,GSM2545341,321,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tomm40l,GSM2545341,1353,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Atat1,GSM2545341,879,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Chrac1,GSM2545341,449,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Mrpl24,GSM2545341,1010,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ipo9,GSM2545341,12687,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Actg1,GSM2545341,5024,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Noxred1,GSM2545341,24,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gm20501,GSM2545341,234,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
H2-K1,GSM2545341,963,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Lig1,GSM2545341,758,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Morn2,GSM2545341,134,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Dcakd,GSM2545341,603,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Nop14,GSM2545341,1161,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Bbs1,GSM2545341,995,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tada2b,GSM2545341,1396,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gal3st1,GSM2545341,121,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Xpc,GSM2545341,1183,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Irf2bp2,GSM2545341,1817,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Spns2,GSM2545341,2276,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pole,GSM2545341,245,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Fam78b,GSM2545341,1203,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ggcx,GSM2545341,784,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Anks1,GSM2545341,1771,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pgm2,GSM2545341,3588,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Zgrf1,GSM2545341,714,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Alkbh3,GSM2545341,666,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Dnd1,GSM2545341,33,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Lime1,GSM2545341,1957,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Trim23,GSM2545341,5280,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Abhd14a,GSM2545341,362,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Zkscan3,GSM2545341,1525,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Fam131b,GSM2545341,10495,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Elovl1,GSM2545341,461,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Trim72,GSM2545341,75,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Klhdc9,GSM2545341,191,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Iqck,GSM2545341,114,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Smim14,GSM2545341,6281,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Kcnab3,GSM2545341,1774,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ing5,GSM2545341,687,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Cnnm3,GSM2545341,3237,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Fn3k,GSM2545341,625,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Cnp,GSM2545341,9245,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Uros,GSM2545341,467,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Eml1,GSM2545341,1980,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Lgals3,GSM2545341,116,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gjb1,GSM2545341,303,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Dynll1,GSM2545341,1125,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Cyp2j12,GSM2545341,86,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Crip3,GSM2545341,2,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Sbk1,GSM2545341,15231,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Camkk2,GSM2545341,8040,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Setd7,GSM2545341,9204,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Btf3l4,GSM2545341,2473,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Acbd4,GSM2545341,1596,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gm16835,GSM2545341,330,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gpr37,GSM2545341,1077,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Prr5l,GSM2545341,282,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Slain1,GSM2545341,1408,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Calr,GSM2545341,5141,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Bst1,GSM2545341,26,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Fmnl3,GSM2545341,515,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gpr89,GSM2545341,386,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Zranb1,GSM2545341,8046,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Col27a1,GSM2545341,482,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Emc8,GSM2545341,3240,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ormdl3,GSM2545341,3977,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Capg,GSM2545341,109,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Zbtb21,GSM2545341,631,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Sord,GSM2545341,785,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tsc22d1,GSM2545341,6905,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gpld1,GSM2545341,3189,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Cdh4,GSM2545341,425,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Hkdc1,GSM2545341,198,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ggact,GSM2545341,1584,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Zfp493,GSM2545341,64,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Mkks,GSM2545341,863,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gm15423,GSM2545341,121,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Npas2,GSM2545341,224,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Plin4,GSM2545341,2471,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Rragc,GSM2545341,2830,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Nsun3,GSM2545341,668,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Hgsnat,GSM2545341,2714,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Acr,GSM2545341,220,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ccdc167,GSM2545341,791,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Thap1,GSM2545341,207,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Egfl8,GSM2545341,72,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Vps33a,GSM2545341,4739,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Igbp1,GSM2545341,1459,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tbx6,GSM2545341,41,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Dcst2,GSM2545341,50,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Rbm28,GSM2545341,1579,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pms1,GSM2545341,555,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Rtcb,GSM2545341,3758,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Smad9,GSM2545341,2207,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ubxn2b,GSM2545341,445,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Rnf170,GSM2545341,1892,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pithd1,GSM2545341,2303,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Steap3,GSM2545341,34,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tomm20,GSM2545341,8339,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Klf15,GSM2545341,2096,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Amz2,GSM2545341,1294,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Folh1,GSM2545341,941,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ubfd1,GSM2545341,2094,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gpx3,GSM2545341,698,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
C4b,GSM2545341,876,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Mdfi,GSM2545341,222,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Nucb2,GSM2545341,366,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Clip4,GSM2545341,1607,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tipin,GSM2545341,737,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Amy1,GSM2545341,1533,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Efhd1,GSM2545341,961,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Smim15,GSM2545341,1492,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Zfp658,GSM2545341,460,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
E2f6,GSM2545341,1334,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Lix1,GSM2545341,145,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Coq4,GSM2545341,194,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Otoa,GSM2545341,89,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Mex3a,GSM2545341,106,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tmem132c,GSM2545341,1344,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Dclk1,GSM2545341,10962,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Eml2,GSM2545341,3579,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Glyr1,GSM2545341,8452,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gm1976,GSM2545341,395,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Smyd3,GSM2545341,1407,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Dcaf8,GSM2545341,7863,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Lias,GSM2545341,1114,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Msn,GSM2545341,1986,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Timmdc1,GSM2545341,300,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
H2-Q6,GSM2545341,44,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Asic3,GSM2545341,105,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Col5a3,GSM2545341,961,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Stx3,GSM2545341,4796,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
AW046200,GSM2545341,76,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Hsf1,GSM2545341,1094,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Colq,GSM2545341,72,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Rcor3,GSM2545341,1518,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Slc6a20a,GSM2545341,1240,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Prps1,GSM2545341,2123,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Keap1,GSM2545341,2034,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tap2,GSM2545341,400,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Slc16a7,GSM2545341,873,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Eif2b3,GSM2545341,586,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Flywch1,GSM2545341,11395,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Amigo2,GSM2545341,962,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Hspd1,GSM2545341,5311,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Sost,GSM2545341,5,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gm8615,GSM2545341,3,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Kcnk13,GSM2545341,76,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Tspyl2,GSM2545341,6747,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Spsb3,GSM2545341,3069,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Gm8493,GSM2545341,3,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Fgf22,GSM2545341,72,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Slc6a6,GSM2545341,6232,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Xist,GSM2545341,11,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ddx3y,GSM2545341,4716,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Eif2s3y,GSM2545341,3983,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Kdm5d,GSM2545341,1643,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Uty,GSM2545341,1356,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Eif2s3x,GSM2545341,1589,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Kdm6a,GSM2545341,2658,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Casp12,GSM2545341,239,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Ddx3x,GSM2545341,21867,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Prl2c3,GSM2545341,40,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Casp1,GSM2545341,39,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
Pbdc1,GSM2545341,296,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,6
